Namespace(exp_name='exp2', model='dgcnn', dataset='S3DIS', test_area='2', batch_size=16, test_batch_size=8, epochs=100, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20)
Train 66, loss: 0.026834, train acc: 0.990050, train avg acc: 0.989477, train iou: 0.979841
Test 66, loss: 0.198066, test acc: 0.956306, test avg acc: 0.963014, test iou: 0.910230
Train 67, loss: 0.027748, train acc: 0.989738, train avg acc: 0.989099, train iou: 0.979135
Test 67, loss: 0.147870, test acc: 0.962072, test avg acc: 0.966711, test iou: 0.922644
Train 68, loss: 0.031482, train acc: 0.988478, train avg acc: 0.987854, train iou: 0.976820
Test 68, loss: 0.197110, test acc: 0.952624, test avg acc: 0.956079, test iou: 0.906651
Train 69, loss: 0.031623, train acc: 0.988425, train avg acc: 0.987853, train iou: 0.976647
Test 69, loss: 0.161998, test acc: 0.960950, test avg acc: 0.966065, test iou: 0.920128
Train 70, loss: 0.027524, train acc: 0.989755, train avg acc: 0.989108, train iou: 0.979269
Test 70, loss: 0.197484, test acc: 0.955238, test avg acc: 0.958894, test iou: 0.913329
Train 71, loss: 0.027047, train acc: 0.989907, train avg acc: 0.989366, train iou: 0.979537
Test 71, loss: 0.151434, test acc: 0.952764, test avg acc: 0.944242, test iou: 0.902472
Train 72, loss: 0.027334, train acc: 0.989905, train avg acc: 0.989292, train iou: 0.979517
Test 72, loss: 0.218003, test acc: 0.952034, test avg acc: 0.955024, test iou: 0.908069
Train 73, loss: 0.035441, train acc: 0.987284, train avg acc: 0.986577, train iou: 0.974498
Test 73, loss: 0.313606, test acc: 0.909210, test avg acc: 0.867077, test iou: 0.800102
Train 74, loss: 0.043574, train acc: 0.984358, train avg acc: 0.983628, train iou: 0.968716
Test 74, loss: 0.147834, test acc: 0.958857, test avg acc: 0.960799, test iou: 0.914553
Train 75, loss: 0.035115, train acc: 0.987389, train avg acc: 0.986777, train iou: 0.974618
Test 75, loss: 0.180128, test acc: 0.956810, test avg acc: 0.962972, test iou: 0.912881
Train 76, loss: 0.031201, train acc: 0.988537, train avg acc: 0.987785, train iou: 0.976746
Test 76, loss: 0.154589, test acc: 0.962560, test avg acc: 0.968200, test iou: 0.922694
Train 77, loss: 0.027882, train acc: 0.989675, train avg acc: 0.989072, train iou: 0.979080
Test 77, loss: 0.215557, test acc: 0.952619, test avg acc: 0.959460, test iou: 0.906085
Train 78, loss: 0.027105, train acc: 0.989934, train avg acc: 0.989288, train iou: 0.979588
Test 78, loss: 0.190453, test acc: 0.957156, test avg acc: 0.961972, test iou: 0.914576
Train 79, loss: 0.026586, train acc: 0.990156, train avg acc: 0.989629, train iou: 0.980048
Test 79, loss: 0.261645, test acc: 0.944537, test avg acc: 0.948477, test iou: 0.896089
Train 80, loss: 0.025526, train acc: 0.990543, train avg acc: 0.990007, train iou: 0.980807
Test 80, loss: 0.191046, test acc: 0.958071, test avg acc: 0.963724, test iou: 0.916239
Train 81, loss: 0.026104, train acc: 0.990300, train avg acc: 0.989707, train iou: 0.980336
Test 81, loss: 0.231899, test acc: 0.949750, test avg acc: 0.957547, test iou: 0.894882
Train 82, loss: 0.026126, train acc: 0.990296, train avg acc: 0.989748, train iou: 0.980326
Test 82, loss: 0.222507, test acc: 0.951454, test avg acc: 0.958215, test iou: 0.904049
Train 83, loss: 0.024598, train acc: 0.990847, train avg acc: 0.990351, train iou: 0.981442
Test 83, loss: 0.237907, test acc: 0.948420, test avg acc: 0.952912, test iou: 0.901968
Train 84, loss: 0.024618, train acc: 0.990838, train avg acc: 0.990285, train iou: 0.981379
Test 84, loss: 0.200838, test acc: 0.955798, test avg acc: 0.962972, test iou: 0.909260
Train 85, loss: 0.025078, train acc: 0.990669, train avg acc: 0.990170, train iou: 0.981059
Test 85, loss: 0.245405, test acc: 0.950635, test avg acc: 0.958509, test iou: 0.902133
Train 86, loss: 0.025862, train acc: 0.990517, train avg acc: 0.989945, train iou: 0.980760
Test 86, loss: 0.219974, test acc: 0.953817, test avg acc: 0.960332, test iou: 0.908579
Train 87, loss: 0.024080, train acc: 0.991051, train avg acc: 0.990522, train iou: 0.981810
Test 87, loss: 0.366433, test acc: 0.929741, test avg acc: 0.937970, test iou: 0.863369
Train 88, loss: 0.024046, train acc: 0.991016, train avg acc: 0.990526, train iou: 0.981752
Test 88, loss: 0.215951, test acc: 0.950956, test avg acc: 0.955332, test iou: 0.906845
Train 89, loss: 0.024487, train acc: 0.990894, train avg acc: 0.990419, train iou: 0.981554
Test 89, loss: 0.311932, test acc: 0.930260, test avg acc: 0.942034, test iou: 0.854163
Train 90, loss: 0.040040, train acc: 0.985621, train avg acc: 0.984682, train iou: 0.970821
Test 90, loss: 0.251018, test acc: 0.950200, test avg acc: 0.958735, test iou: 0.898133
Train 91, loss: 0.031526, train acc: 0.988616, train avg acc: 0.987922, train iou: 0.976955
Test 91, loss: 0.185566, test acc: 0.957664, test avg acc: 0.963101, test iou: 0.916117
Train 92, loss: 0.026996, train acc: 0.990035, train avg acc: 0.989466, train iou: 0.979838
Test 92, loss: 0.206036, test acc: 0.952400, test avg acc: 0.959369, test iou: 0.906591
Train 93, loss: 0.024339, train acc: 0.990989, train avg acc: 0.990469, train iou: 0.981676
Test 93, loss: 0.229237, test acc: 0.949867, test avg acc: 0.956603, test iou: 0.901605
Train 94, loss: 0.024537, train acc: 0.990906, train avg acc: 0.990385, train iou: 0.981531
Test 94, loss: 0.255108, test acc: 0.945824, test avg acc: 0.951132, test iou: 0.898993
Train 95, loss: 0.023623, train acc: 0.991202, train avg acc: 0.990709, train iou: 0.982097
Test 95, loss: 0.231055, test acc: 0.952215, test avg acc: 0.959185, test iou: 0.906583
Train 96, loss: 0.023549, train acc: 0.991322, train avg acc: 0.990828, train iou: 0.982369
Test 96, loss: 0.188829, test acc: 0.958361, test avg acc: 0.963932, test iou: 0.916020
Train 97, loss: 0.023808, train acc: 0.991213, train avg acc: 0.990729, train iou: 0.982174
Test 97, loss: 0.244758, test acc: 0.954206, test avg acc: 0.961621, test iou: 0.906937
Train 98, loss: 0.022345, train acc: 0.991680, train avg acc: 0.991207, train iou: 0.983079
Test 98, loss: 0.215702, test acc: 0.956075, test avg acc: 0.962437, test iou: 0.912922
Train 99, loss: 0.021906, train acc: 0.991846, train avg acc: 0.991410, train iou: 0.983414
Test 99, loss: 0.214301, test acc: 0.957476, test avg acc: 0.964558, test iou: 0.912829
